,PRMT7,EHMT2
ACH-000022,5.178280413052647,4.716107453241993
ACH-000023,6.237473852993807,5.362413778955519
ACH-000031,5.251692586154361,4.816512671206655
ACH-000042,4.515214128036863,3.4642238903170157
ACH-000060,6.097598156135525,5.26926509640928
ACH-000085,5.099459328918365,4.77142608196442
ACH-000093,5.562898739322168,4.215344672676821
ACH-000094,5.08580703533898,4.129299504794075
ACH-000107,5.561326136453918,3.9817978663618474
ACH-000114,4.467925026829267,4.091615216110399
ACH-000118,5.010690338766186,5.789885717407145
ACH-000138,4.086945075425066,4.456970381121014
ACH-000139,3.998926596341854,4.483125697748849
ACH-000155,4.914373171939724,5.1669443622641955
ACH-000164,5.1575571341077575,4.119613481747173
ACH-000178,5.5564539404436815,4.2749399785061675
ACH-000205,4.793344495022798,4.618502968828247
ACH-000213,4.521390006815071,4.321134394327206
ACH-000222,4.0541451870806515,4.187625243790502
ACH-000235,4.45492600487376,3.7367455663949265
ACH-000243,5.784127032226518,4.936878171888503
ACH-000265,5.877783506422818,5.125514726814563
ACH-000266,4.204461593076646,4.221536855637307
ACH-000270,4.5745799044479885,4.53637000955527
ACH-000281,4.659633479012111,5.298027731770842
ACH-000307,5.617656995973573,3.905100543696123
ACH-000320,5.422047941642746,4.498761465671852
ACH-000332,4.983609297294155,4.9566653933293825
ACH-000354,4.746452514019996,4.925429821243742
ACH-000417,4.857154940141729,4.611792062729281
ACH-000468,4.728709637847566,4.405658868034971
ACH-000502,4.728372246789595,4.3225915820158285
ACH-000517,3.834680881275536,3.773226260433936
ACH-000535,5.085284425190592,4.372729270659724
ACH-000599,5.45197265378453,4.672532832891597
ACH-000601,5.531309713897862,5.555632126100246
ACH-000652,5.149113007136325,4.439629785906042
ACH-000933,5.044464066513246,5.129901182365074
ACH-001098,4.155474006520047,4.185557363246168
ACH-001353,2.8745451852856294,4.6384619800142035
ACH-001375,4.655849815943327,4.411148256085266
ACH-001376,4.28425500526135,4.607549290839002
ACH-001377,4.700423071563813,4.4203543904245866
ACH-001378,3.6206215977066907,4.86298690919509
ACH-001379,3.6691174981935943,3.1271181753622352
ACH-001380,4.266081883783658,4.710001881093074
ACH-001382,4.292141227119015,3.1399163796842315
ACH-001999,4.596434285277106,3.5136928603321986
ACH-002039,4.718542465464329,3.7934069268312847
ACH-002672,4.255629134846275,3.7287694893109875
ACH-003433,3.8128267732676635,4.729792021559965
